City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_name
0,,33.08,-16.33,71.6,78,75,12.75,PT,1593628934,Camacha
2,,-42.88,147.33,53.6,66,75,13.87,AU,1593628840,Hobart
3,,39.57,3.21,84.2,74,0,10.29,ES,1593628934,Manacor
4,,-8.9,-35.15,78.53,68,0,7.29,BR,1593628935,São José da Coroa Grande
6,,33.59,-102.38,97.0,16,75,9.35,US,1593628935,Levelland
7,,-3.7,128.18,79.0,14,89,11.03,ID,1593628936,Ambon City
8,,-20.28,44.28,74.08,54,0,8.7,MG,1593628936,Morondava
9,,-23.12,-134.97,68.61,70,0,23.0,PF,1593628936,Rikitea
10,,41.22,-111.97,75.99,22,1,9.17,US,1593628937,Ogden
11,,-9.88,-56.09,91.13,34,24,3.53,BR,1593628937,Alta Floresta
12,,-33.59,26.89,64.0,54,0,3.0,ZA,1593628937,Port Alfred
13,,-17.88,15.07,64.38,28,0,6.38,NA,1593628937,Ongandjera
14,,42.67,9.33,79.0,74,20,6.93,FR,1593628741,Arrondissement de Bastia
17,,5.67,73.0,83.57,76,100,7.34,MV,1593628939,Ugoofaaru
18,,32.67,-17.1,71.6,73,75,11.41,PT,1593628939,Ponta do Sol
20,,22.08,-159.32,80.6,69,40,11.41,US,1593628766,Kapaa
21,,40.05,42.17,59.36,73,100,4.94,TR,1593628942,Horasan
23,,-25.4,-70.48,68.0,45,24,4.94,CL,1593628943,Taltal
25,,-35.57,138.62,48.99,80,0,14.7,AU,1593628943,Victor Harbor
26,,-23.79,-54.28,57.83,64,0,8.81,BR,1593628944,Eldorado
29,,-9.8,-139.03,80.13,75,13,18.34,PF,1593628945,Atuona
30,,17.96,-102.2,89.87,49,6,6.76,MX,1593628946,Lázaro Cárdenas
31,,-13.13,39.0,66.81,58,0,8.52,MZ,1593628946,Montepuez
32,,-13.46,25.83,67.01,43,98,8.1,ZM,1593628946,Kasempa
35,,-0.74,-90.35,78.8,61,20,14.99,EC,1593628946,Puerto Ayora
39,,-14.47,132.27,71.6,60,0,8.05,AU,1593628947,Katherine
40,,63.75,-68.51,64.4,48,75,16.11,CA,1593628831,Iqaluit
41,,-38.0,-57.56,48.99,61,75,11.41,AR,1593628947,Mar del Plata
42,,-3.47,102.53,68.59,80,89,1.45,ID,1593628947,Curup
44,,19.73,-155.09,78.8,74,75,5.82,US,1593628949,Hilo
45,,59.64,-151.55,60.8,63,1,2.95,US,1593628949,Homer
47,,19.22,-104.7,89.6,79,75,6.93,MX,1593628950,San Patricio
48,,-28.57,-70.76,80.01,15,20,5.23,CL,1593628950,Vallenar
49,,-20.34,57.76,71.6,73,75,5.82,MU,1593628950,Bambous Virieux
50,,-17.53,-149.33,80.6,65,20,2.24,PF,1593628951,Tiarei
51,,59.7,30.79,61.0,72,75,11.18,RU,1593628951,Nikolskoye
53,,1.61,16.05,76.06,73,0,0.58,CG,1593628952,Ouésso
55,,16.23,-94.65,86.25,62,48,10.98,MX,1593628952,San Francisco del Mar Viejo
57,,31.37,-106.02,89.6,15,90,5.82,MX,1593628952,Praxédis Guerrero
59,,-33.65,115.33,46.99,76,100,3.13,AU,1593628774,Busselton
60,,46.84,74.98,76.73,38,92,16.91,KZ,1593628953,Balkhash
62,,10.57,72.64,83.32,74,100,11.25,IN,1593628953,Kavaratti
63,,22.89,-109.91,84.99,65,40,11.41,MX,1593628953,Cabo San Lucas
67,,11.03,20.28,78.91,74,85,1.28,TD,1593628954,Am Timan
68,,34.78,72.36,79.29,41,0,4.81,PK,1593628818,Mingora
70,,37.1,-113.58,91.0,13,1,4.7,US,1593628939,Saint George
71,,-0.6,73.08,84.16,65,8,1.7,MV,1593628955,Hithadhoo
73,,53.6,91.39,66.2,77,40,6.71,RU,1593628955,Belyy Yar
74,,-22.97,-42.03,80.6,57,75,4.7,BR,1593628955,Arraial do Cabo
75,,-17.73,-149.15,80.6,65,20,2.24,PF,1593628956,Tautira
76,,73.51,80.55,41.0,76,60,19.28,RU,1593628956,Dikson
79,,-32.95,151.67,50.0,80,0,9.57,AU,1593628956,Charlestown
80,,34.74,60.78,78.12,18,0,14.52,IR,1593628956,Tāybād
